time_since_start_of_packet_ms gap_ms max_gap_ms byte
17.054 0.018 2.546 00
17.072 0.017 2.546 E0
17.090 0.018 2.546 00
17.108 0.018 2.546 BF
17.126 0.018 2.546 01
17.143 0.017 2.546 23
17.161 0.017 2.546 23
17.181 0.021 2.546 70
17.200 0.018 2.546 10
17.217 0.017 2.546 BD
17.234 0.017 2.546 E0
17.252 0.017 2.546 02
17.270 0.018 2.546 00
17.722 0.452 2.546 20
17.746 0.024 2.546 00
17.765 0.018 2.546 00
17.783 0.018 2.546 00
17.800 0.018 2.546 00
17.818 0.018 2.546 BC
17.835 0.017 2.546 A1
17.853 0.017 2.546 00
17.870 0.017 2.546 08
17.888 0.018 2.546 04
17.907 0.019 2.546 4B
17.925 0.019 2.546 10
17.943 0.017 2.546 B5
17.960 0.017 2.546 00
17.977 0.017 2.546 2B
17.995 0.017 2.546 03
18.012 0.017 2.546 D0
18.029 0.018 2.546 03
19.857 1.827 2.546 49
19.900 0.044 2.546 04
19.920 0.020 2.546 48
19.939 0.019 2.546 00
19.957 0.019 2.546 E0
19.976 0.018 2.546 00
19.994 0.018 2.546 BF
20.012 0.018 2.546 10
20.031 0.018 2.546 BD
20.358 0.327 2.546 C0
20.446 0.088 2.546 46
20.550 0.104 2.546 00
20.577 0.026 2.546 00
20.594 0.017 2.546 00
20.611 0.017 2.546 00
20.704 0.093 2.546 E4
20.750 0.045 2.546 02
20.771 0.021 2.546 00
20.913 0.142 2.546 20
20.957 0.044 2.546 BC
20.976 0.019 2.546 A1
20.993 0.017 2.546 00
21.009 0.016 2.546 08
21.026 0.017 2.546 00
21.042 0.016 2.546 23
21.058 0.016 2.546 C2
21.073 0.015 2.546 5C
21.090 0.017 2.546 01
21.105 0.015 2.546 33
21.121 0.016 2.546 00
21.138 0.017 2.546 2A
21.152 0.014 2.546 FB
21.166 0.014 2.546 D1
21.182 0.015 2.546 58
21.196 0.014 2.546 1E
21.210 0.014 2.546 70
21.225 0.014 2.546 47
21.239 0.014 2.546 00
21.253 0.014 2.546 00
21.267 0.014 2.546 03
21.282 0.015 2.546 B4
21.299 0.017 2.546 71
21.315 0.016 2.546 46
21.330 0.015 2.546 49
21.347 0.017 2.546 08
21.362 0.015 2.546 40
21.376 0.014 2.546 00
21.391 0.015 2.546 49
21.405 0.014 2.546 00
21.419 0.014 2.546 09
21.433 0.014 2.546 5E
21.450 0.016 2.546 49
21.466 0.016 2.546 00
21.480 0.014 2.546 8E
21.497 0.016 2.546 44
21.511 0.014 2.546 03
21.525 0.014 2.546 BC
21.539 0.014 2.546 70
21.553 0.014 2.546 47
21.568 0.015 2.546 00
21.584 0.016 2.546 22
21.598 0.014 2.546 43
21.613 0.015 2.546 08
21.628 0.016 2.546 8B
21.643 0.014 2.546 42
21.691 0.048 2.546 74
21.707 0.016 2.546 D3
21.723 0.016 2.546 03
21.737 0.014 2.546 09
21.753 0.016 2.546 8B
21.767 0.014 2.546 42
21.781 0.014 2.546 5F
21.795 0.014 2.546 D3
21.809 0.014 2.546 03
21.825 0.016 2.546 0A
21.841 0.016 2.546 8B
21.856 0.014 2.546 42
21.873 0.018 2.546 44
21.887 0.014 2.546 D3
21.902 0.014 2.546 03
21.916 0.014 2.546 0B
21.931 0.015 2.546 8B
21.946 0.016 2.546 42
21.962 0.016 2.546 28
21.976 0.014 2.546 D3
21.992 0.015 2.546 03
22.006 0.014 2.546 0C
22.020 0.014 2.546 8B
22.034 0.014 2.546 42
22.048 0.014 2.546 0D
22.064 0.016 2.546 D3
22.081 0.017 2.546 FF
22.095 0.015 2.546 22
22.110 0.015 2.546 09
22.126 0.016 2.546 02
22.141 0.015 2.546 12
22.155 0.014 2.546 BA
22.169 0.014 2.546 03
22.184 0.015 2.546 0C
22.200 0.016 2.546 8B
22.216 0.017 2.546 42
22.231 0.014 2.546 02
22.245 0.014 2.546 D3
22.261 0.016 2.546 12
22.275 0.014 2.546 12
22.290 0.015 2.546 09
22.304 0.014 2.546 02
22.319 0.015 2.546 65
22.333 0.014 2.546 D0
22.367 0.034 2.546 03
22.384 0.017 2.546 0B
22.398 0.014 2.546 8B
22.416 0.018 2.546 42
22.431 0.015 2.546 19
22.446 0.015 2.546 D3
22.460 0.014 2.546 00
22.474 0.014 2.546 E0
22.491 0.017 2.546 09
22.507 0.016 2.546 0A
22.521 0.014 2.546 C3
22.535 0.015 2.546 0B
22.551 0.015 2.546 8B
22.565 0.014 2.546 42
22.580 0.014 2.546 01
22.595 0.015 2.546 D3
22.611 0.016 2.546 CB
22.627 0.017 2.546 03
22.641 0.014 2.546 C0
22.656 0.014 2.546 1A
22.673 0.017 2.546 52
22.688 0.015 2.546 41
22.703 0.015 2.546 83
22.717 0.015 2.546 0B
22.734 0.016 2.546 8B
22.750 0.017 2.546 42
22.765 0.014 2.546 01
22.779 0.014 2.546 D3
22.794 0.015 2.546 8B
22.809 0.016 2.546 03
22.823 0.014 2.546 C0
22.838 0.014 2.546 1A
22.851 0.014 2.546 52
22.865 0.014 2.546 41
22.879 0.014 2.546 43
22.893 0.014 2.546 0B
22.907 0.014 2.546 8B
22.922 0.015 2.546 42
22.937 0.015 2.546 01
22.952 0.014 2.546 D3
22.966 0.015 2.546 4B
22.980 0.014 2.546 03
22.994 0.014 2.546 C0
23.008 0.014 2.546 1A
23.022 0.014 2.546 52
23.036 0.014 2.546 41
23.050 0.014 2.546 03
23.636 0.586 2.546 0B
23.666 0.030 2.546 8B
23.684 0.018 2.546 42
23.701 0.017 2.546 01
23.718 0.017 2.546 D3
23.733 0.015 2.546 0B
23.748 0.015 2.546 03
23.763 0.015 2.546 C0
23.778 0.015 2.546 1A
23.793 0.015 2.546 52
23.809 0.016 2.546 41
23.825 0.015 2.546 C3
23.840 0.016 2.546 0A
23.857 0.016 2.546 8B
23.872 0.016 2.546 42
23.888 0.016 2.546 01
23.903 0.015 2.546 D3
23.920 0.017 2.546 CB
23.934 0.014 2.546 02
23.948 0.014 2.546 C0
23.963 0.015 2.546 1A
23.978 0.015 2.546 52
23.993 0.015 2.546 41
24.007 0.015 2.546 83
24.022 0.014 2.546 0A
24.036 0.015 2.546 8B
24.051 0.015 2.546 42
24.065 0.014 2.546 01
24.079 0.014 2.546 D3
24.094 0.015 2.546 8B
24.109 0.014 2.546 02
24.123 0.014 2.546 C0
24.137 0.014 2.546 1A
24.152 0.014 2.546 52
24.166 0.014 2.546 41
24.180 0.014 2.546 43
24.194 0.014 2.546 0A
24.209 0.014 2.546 8B
24.224 0.015 2.546 42
24.239 0.015 2.546 01
24.253 0.014 2.546 D3
24.267 0.014 2.546 4B
24.282 0.014 2.546 02
24.296 0.014 2.546 C0
24.310 0.014 2.546 1A
24.325 0.015 2.546 52
24.339 0.014 2.546 41
24.354 0.015 2.546 03
24.369 0.015 2.546 0A
24.383 0.014 2.546 8B
24.397 0.014 2.546 42
24.411 0.014 2.546 01
24.425 0.014 2.546 D3
24.440 0.014 2.546 0B
24.454 0.014 2.546 02
24.467 0.014 2.546 C0
24.482 0.014 2.546 1A
24.496 0.014 2.546 52
24.510 0.014 2.546 41
24.524 0.014 2.546 CD
24.538 0.014 2.546 D2
24.552 0.014 2.546 C3
